-852,2544
-705,2672
-766,2913
854,06934
29,83122
-842,97656
-961,04785
-467,4596
-586,7176
58,112057
-57,71851
951,404
851,1751
-81,050255
-384,28027
-277,09314
-590,7394
878,4888
633,7041
-881,63354
-567,8222
658,32404
-59,42066
-271,18988
571,05804
-861,6403
-845,1556
287,93716
-564,30383
-885,6565
-75,7629
-113,300804
-112,14681
-540,64923
-602,6457
821,1052
446,9958
-556,3731
-58,265003
-800,6309
-658,7167
-736,3765
867,8045
878,9365
-593,37946
-882,83185
457,48196
-161,14238
185,28677
-579,22095
717,02826
-199,55095
13,314971
788,84143
458,74582
-886,73816
866,7249
732,61725
-265,68585
140,9138
-484,68182
-883,32623
-765,59576
302,26816
-380,97232
-576,1861
-540,8801
-499,47183
-674,397
-433,1945
29,922104
-132,20325
387,52695
202,77649
-197,00131
-82,722946
141,61285
-471,06726
-525,10236
860,60504
731,3105
780,52765
-363,7244
-308,592
578,27185
-358,7919
766,6525
-112,63674
885,60095
275,5072
505,78806
29,73961
-639,20496
-542,1607
-374,05054
-200,94081
-646,95435
-168,24779
257,47833
-837,59705
-194,59467
303,26248
-200,7585
881,40643
559,6233
-711,0359
613,2523
-409,08655
702,7349
511,97977
-263,60214
-801,96655
939,1383
473,782
-767,6009
230,8373
-623,5611
-944,39014
-848,24286
-453,15707
116,432335
-336,41638
320,40094
-180,51802
379,0001
-232,55232
-718,73175
714,8766
-534,9696
-88,50177
304,6407
-443,94226
529,8286
925,9919
-826,44556
78,099525
574,6089
544,5894
-33,514534
997,9017
939,9029
884,24786
566,24347
836,4081
-665,0185
659,2108
-898,4511
639,9126
-747,3094
-170,8301
223,2849
-824,36884
-445,359
147,78479
135,93481
-570,0039
317,12057
847,5932
-981,7923
779,1469
-99,05295
359,5235
-300,0024
329,37177
-860,00104
151,08743
61,3447
726,1681
315,41583
-935,79803
403,80533
-571,7104
460,39386
272,05463
-981,54895
-146,39543
282,8042
843,27313
106,26812
-72,08208
429,86594
727,31995
603,9086
-996,5574
669,0145
150,1741
921,0923
-152,5976
735,8478
-51,825096
910,3718
-704,87634
380,60938
847,0116
529,40247
-138,88129
117,42317
-537,24133
-892,74347
857,0244
-945,80005
190,0887
-265,5361
984,35516
331,8945
186,67703
247,43484
-950,57336
357,78436
-705,5228
358,19482
-675,32837
-879,67126
-894,5107
348,03314
-449,1158
-297,8287
23,82061
-113,92511
